episode,discountedReturn,averageDiscountedReturn,episodeLength,averageEpisodeLength
271,6.12579511,4.89266704205,9,8
272,-1.16420489,4.87039913053,9,8
273,6.513215599,4.87641677327,10,8
274,6.513215599,4.88239049162,10,8
275,6.513215599,4.88832076473,10,8
276,6.12579511,4.89280436743,9,8
277,5.6953279,4.8957015643,8,8
278,6.12579511,4.90012636123,9,8
279,6.513215599,4.90590804309,10,8
280,6.513215599,4.91164842721,10,8
281,6.12579511,4.91596923391,9,8
282,-1.16420489,4.89440833277,9,8
283,6.513215599,4.90012849978,10,8
284,6.513215599,4.90580838394,10,8
285,6.513215599,4.91144840925,10,8
286,6.513215599,4.91704899383,10,8
287,6.12579511,4.92126065277,9,8
288,6.513215599,4.92678827411,10,9
289,4.68559,4.92595367801,6,8
290,6.12579511,4.93009106226,9,8
291,6.12579511,4.93420001088,9,8
292,6.513215599,4.93960759851,10,8
293,6.513215599,4.94497827428,10,8
294,6.513215599,4.95031241484,10,9
295,6.513215599,4.95561039173,10,9
296,-2.4046721,4.9307445725,8,9
297,6.513215599,4.93607275778,10,9
298,6.12579511,4.94006511466,9,9
299,6.12579511,4.94403076682,9,9
300,6.513215599,4.94926138293,10,9
301,6.513215599,4.95445724411,10,9
302,6.12579511,4.95833584632,9,9
303,6.12579511,4.96218884719,9,9
304,6.513215599,4.96729090887,10,9
305,6.513215599,4.97235951441,10,9
306,6.513215599,4.97739499181,10,9
307,5.217031,4.97817556513,7,9
308,3.439,4.97317824187,4,8
309,5.6953279,4.97551529578,8,8
310,6.513215599,4.98047561934,10,8
311,6.513215599,4.98540404371,10,9
312,6.513215599,4.99030087562,10,9
313,6.513215599,4.99516641786,10,9
314,-1.16420489,4.97555058567,9,9
315,6.12579511,4.97920215559,9,9
316,-1.16420489,4.95976099405,9,9
317,6.513215599,4.96466148177,10,9
318,5.6953279,4.96695917491,8,9
319,6.513215599,4.97180637373,10,9
320,2.71,4.96473822881,3,8
321,6.513215599,4.96956214585,10,8
322,6.513215599,4.97435610067,10,8
323,6.513215599,4.97912037157,10,9
324,6.12579511,4.98265949113,9,9
325,5.6953279,4.984852317,8,8
326,6.513215599,4.98954054793,10,9
327,6.12579511,4.99301533252,9,9
328,6.513215599,4.99765008943,10,9
329,6.513215599,5.00225667153,10,9
330,6.12579511,5.00566133346,9,9
331,6.513215599,5.01021587807,10,9
332,6.12579511,5.01357605648,9,9
333,6.513215599,5.01807947853,10,9
334,6.513215599,5.02255593398,10,9
335,6.513215599,5.02700566433,10,9
336,5.6953279,5.0289947186,8,9
337,6.513215599,5.03339893486,10,9
338,6.513215599,5.03777709067,10,9
339,6.12579511,5.04098658335,9,9
340,6.513215599,5.04531666869,10,9
341,-0.8656721,5.02798239078,8,9
342,5.6953279,5.02993369344,8,9
343,-1.97420489,5.00951346433,9,9
344,5.6953279,5.01150711095,8,9
345,6.12579511,5.01473693123,9,9
346,-1.16420489,4.99687871788,9,9
347,-4.3046721,4.97007309593,8,9
348,6.513215599,4.97450741346,10,9
349,6.513215599,4.97891631944,10,9
350,5.6953279,4.98096320967,8,9
351,6.12579511,4.98422483901,9,9
352,6.513215599,4.98856856276,10,9
353,-3.87420489,4.96346155582,9,9
354,5.6953279,4.96552897487,8,9
355,6.513215599,4.9698886555,10,9
356,6.513215599,4.97422384354,10,9
357,6.513215599,4.97853474482,10,9
358,6.513215599,4.98282156285,10,9
359,6.12579511,4.98600533317,9,9
360,6.513215599,4.99024758391,10,9
361,6.513215599,4.99446633188,10,9
362,6.12579511,4.99759154949,9,9
363,3.439,4.99329790886,4,9
364,6.513215599,4.99747350691,10,9
365,6.513215599,5.00162622497,10,9
366,6.513215599,5.00575625058,10,9
367,-2.87420489,4.98428496682,9,9
368,6.513215599,4.98843966963,10,9
369,6.513215599,4.99257185372,10,9
370,6.513215599,4.99668170168,10,9
371,3.439,4.99248309871,4,9
372,6.12579511,4.99552963637,9,9
373,-2.4046721,4.97568995343,8,9
374,6.513215599,4.97980098457,10,9
375,6.513215599,4.98389009021,10,9
376,6.12579511,4.98692707165,9,9
377,4.68559,4.98612776907,6,9
378,6.12579511,4.98914276203,9,9
379,5.6953279,4.99100604736,8,9
380,6.12579511,4.99399233437,9,9
381,6.513215599,4.997979797,10,9
382,6.12579511,5.00093219311,9,9
383,6.12579511,5.00386917201,9,9
384,6.513215599,5.00779976166,10,9
385,6.513215599,5.01170993266,10,9
386,6.12579511,5.01459616369,9,9
387,5.217031,5.01511925113,7,9
388,6.513215599,5.01898032419,10,9
389,6.513215599,5.02282154597,10,9
390,6.513215599,5.02664306919,10,9
391,6.513215599,5.03044504497,10,9
392,6.513215599,5.03422762291,10,9
393,6.513215599,5.03799095109,10,9
394,4.0951,5.03559782685,5,9
395,6.513215599,5.03933863134,10,9
396,6.513215599,5.04306054287,10,9
397,6.513215599,5.04676370422,10,9
398,6.513215599,5.05044825672,10,9
399,6.12579511,5.05314336162,9,9
400,6.513215599,5.05679354221,10,9
401,6.12579511,5.05945938153,9,9
402,6.513215599,5.06307569053,10,9
403,6.513215599,5.06667405259,10,9
404,6.12579511,5.06929563936,9,9
405,6.513215599,5.07286087383,10,9
406,6.513215599,5.07640854557,10,9
407,6.513215599,5.07993878403,10,9
408,4.68559,5.07897224289,6,9
409,6.12579511,5.081531712,9,9
410,6.12579511,5.0840786959,9,9
411,6.513215599,5.08755591464,10,9
412,6.513215599,5.09101625368,10,9
413,5.6953279,5.09247947801,8,9
414,6.12579511,5.09497540949,9,9
415,2.71,5.08922848079,3,9
416,5.6953279,5.09068545055,8,9
417,4.0951,5.08829795546,5,9
418,5.6953279,5.08975018021,8,9
419,5.6953279,5.0911954731,8,9
420,6.12579511,5.09365880557,9,9
421,6.513215599,5.09703067443,10,9
422,6.513215599,5.10038656288,10,9
423,6.513215599,5.10372658424,10,9
424,6.513215599,5.10705085079,10,9
425,5.6953279,5.10843503208,8,9
426,-1.97420489,5.09180911677,9,9
427,6.12579511,5.09423062963,9,9
428,6.513215599,5.09754601508,10,9
429,-1.16420489,5.08294985912,9,9
430,4.0951,5.08065253387,5,9
431,6.513215599,5.08397634608,10,9
432,6.513215599,5.08728477028,10,9
433,6.513215599,5.09057791307,10,9
434,6.12579511,5.09296320615,9,9
435,6.513215599,5.09622815418,10,9
436,6.513215599,5.09947812539,10,9
437,0.22089511,5.08831431986,9,9
438,-1.97420489,5.07218984678,9,9
439,-8.9656721,5.04021294029,8,9
440,6.513215599,5.04356067361,10,9
441,6.12579511,5.04601471995,9,9
442,5.6953279,5.04748375429,8,9
443,6.12579511,5.0499178657,9,9
444,-2.87420489,5.03207074238,9,9
445,6.513215599,5.03539915779,10,9
446,5.217031,5.03580640407,7,9
447,6.513215599,5.03911157006,10,9
448,-4.3046721,5.01825491008,8,9
449,6.513215599,5.02158444391,10,9
450,6.513215599,5.02489917981,10,9
451,6.513215599,5.02819921621,10,9
452,6.12579511,5.03062752571,9,9
453,6.12579511,5.0330451142,9,9
454,6.513215599,5.03630540161,10,9
455,6.12579511,5.03869988449,9,9
456,6.513215599,5.04193347158,10,9
457,6.513215599,5.04515290731,10,9
458,6.12579511,5.0475123881,9,9
459,-0.43520489,5.03556747028,9,9
