episode,discountedReturn,averageDiscountedReturn,episodeLength,averageEpisodeLength
474,6.513215599,-2.46842382132,10,8
475,6.513215599,-2.44951510675,10,8
476,-1.97420489,-2.44851655587,9,8
477,0.81138511,-2.44168238047,9,8
478,-3.3046721,-2.44348779829,8,8
479,6.12579511,-2.42559785485,9,8
480,5.6953279,-2.40867925953,8,8
481,-0.43520489,-2.40457640221,9,8
482,1.9,-2.39564574578,2,8
483,-0.43520489,-2.39158686202,9,8
484,6.513215599,-2.37318850983,10,8
485,6.12579511,-2.35566483226,9,8
486,6.12579511,-2.33821326859,9,8
487,-14.782969,-2.3637671818,7,8
488,6.513215599,-2.34557664331,10,8
489,-0.43520489,-2.34166995261,9,8
490,-1.5946721,-2.3401454672,8,8
491,-14.3046721,-2.36451313855,8,8
492,6.12579511,-2.34725641447,9,8
493,-12.782969,-2.36842418847,7,8
494,-0.43520489,-2.36451078908,9,8
495,6.513215599,-2.3465759883,10,8
496,-13.3046721,-2.36866892401,8,8
497,-21.072969,-2.4063033306,7,8
498,6.513215599,-2.38839265002,10,8
499,-1.5946721,-2.38680202767,8,8
500,6.513215599,-2.36900199242,10,8
